start.10,salesman.7,Venta,client.1,end.10,Pago Contra Entrega,Terminada
start.11,salesman.14,Venta,client.242,end.11,Pago ya Efectuado,Terminada
start.11,salesman.14,Prestamo,client.259,end.11,Pago Posterior,Anulada
start.11,salesman.4,Venta,client.246,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.4,end.11,Pago Posterior,Anulada
start.11,salesman.5,Venta,client.85,end.11,Pago Posterior,Terminada
start.11,salesman.4,Soporte,client.86,end.11,Pago Posterior,Anulada
start.11,salesman.4,Soporte,client.86,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.203,end.11,Pago ya Efectuado,Terminada
start.11,salesman.5,Venta,client.203,end.11,Pago Contra Entrega,Terminada
start.11,salesman.4,Venta,client.113,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.117,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.40,end.11,Pago Posterior,Terminada
start.11,salesman.7,Retiro,client.117,end.11,Pago Contra Entrega,Terminada
start.11,salesman.7,Venta,client.145,end.11,Pago Contra Entrega,Terminada
start.11,salesman.14,Soporte,client.238,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.261,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Retiro,client.175,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.4,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.262,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.63,end.11,Pago ya Efectuado,Terminada
start.11,salesman.7,Retiro,client.38,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.44,end.11,Pago Contra Entrega,Terminada
start.11,salesman.4,Venta,client.135,end.11,Pago Posterior,Terminada
start.11,salesman.5,Retiro,client.11,end.11,Pago ya Efectuado,Terminada
start.11,salesman.4,Soporte,client.221,end.11,Pago Posterior,Terminada
start.11,salesman.14,Retiro,client.253,end.11,Pago Posterior,Terminada
start.11,salesman.14,Prestamo,client.259,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.211,end.11,Pago Contra Entrega,Terminada
start.11,salesman.15,Retiro,client.222,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.3,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.12,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.12,end.11,Pago ya Efectuado,Terminada
start.11,salesman.15,Venta,client.255,end.11,Pago Posterior,Terminada
start.11,salesman.14,Prestamo,client.245,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.38,end.11,Pago Posterior,Terminada
start.11,salesman.4,Prestamo,client.235,end.11,Pago Posterior,Terminada
start.11,salesman.16,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.16,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.4,Venta,client.30,end.11,Pago Contra Entrega,Anulada
start.11,salesman.7,Prestamo,client.263,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.264,end.11,Pago Posterior,Anulada
start.11,salesman.7,Retiro,client.205,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.41,end.11,Pago Posterior,Terminada
start.11,salesman.5,Retiro,client.150,end.11,Pago Contra Entrega,Terminada
start.11,salesman.14,Soporte,client.253,end.11,Pago Posterior,Terminada
start.11,salesman.7,Retiro,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.7,Retiro,client.78,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.98,end.11,Pago Contra Entrega,Anulada
start.11,salesman.7,Retiro,client.226,end.11,Pago Contra Entrega,Terminada
start.11,salesman.16,Venta,client.265,end.11,Pago Posterior,Terminada
start.11,salesman.14,Venta,client.242,end.11,Pago ya Efectuado,Anulada
start.11,salesman.15,Prestamo,client.266,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.267,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.4,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.264,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.98,end.11,Pago Contra Entrega,Terminada
start.11,salesman.14,Venta,client.242,end.11,Pago ya Efectuado,Terminada
start.11,salesman.16,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.166,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.12,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.117,end.11,Pago Posterior,Terminada
start.11,salesman.16,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.16,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Soporte,client.11,end.11,Pago ya Efectuado,Terminada
start.11,salesman.4,Venta,client.30,end.11,Pago Contra Entrega,Terminada
start.11,salesman.15,Retiro,client.249,end.11,Pago Posterior,Terminada
start.11,salesman.16,Soporte,client.3,end.11,Pago ya Efectuado,Terminada
start.11,salesman.7,Venta,client.38,end.11,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.3,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Contra Entrega,Terminada
start.11,salesman.4,Venta,client.4,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.211,end.11,Pago ya Efectuado,Terminada
start.11,salesman.14,Retiro,client.245,end.11,Pago Posterior,Terminada
start.11,salesman.14,Venta,client.242,end.11,Pago ya Efectuado,Anulada
start.11,salesman.4,Venta,client.199,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.80,end.11,Pago ya Efectuado,Terminada
start.11,salesman.4,Venta,client.4,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.30,end.11,Pago Contra Entrega,Terminada
start.11,salesman.4,Soporte,client.83,end.11,Pago Posterior,Terminada
start.11,salesman.7,Retiro,client.90,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.78,end.11,Pago Posterior,Terminada
start.11,salesman.5,Soporte,client.183,end.11,Pago ya Efectuado,Terminada
start.11,salesman.7,Venta,client.45,end.11,Pago ya Efectuado,Terminada
start.11,salesman.7,Retiro,client.217,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Venta,client.187,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Retiro,client.41,end.11,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.199,end.12,Pago Posterior,Terminada
start.11,salesman.7,Retiro,client.135,end.11,Pago Contra Entrega,Terminada
start.11,salesman.7,Retiro,client.94,end.11,Pago Contra Entrega,Terminada
start.11,salesman.7,Retiro,client.41,end.11,Pago Contra Entrega,Terminada
start.11,salesman.7,Retiro,client.166,end.11,Pago Contra Entrega,Terminada
start.11,salesman.5,Soporte,client.41,end.11,Pago ya Efectuado,Terminada
start.11,salesman.15,Retiro,client.257,end.11,Pago Posterior,Terminada
start.11,salesman.4,Retiro,client.4,end.11,Pago Contra Entrega,Terminada
start.11,salesman.15,Prestamo,client.268,end.11,Pago Posterior,Anulada
start.11,salesman.14,Venta,client.242,end.11,Pago ya Efectuado,Terminada
